sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description,product_type,
123fhd,fashion accessories,sunglasess,,Наочари,https://scontent.fskp3-1.fna.fbcdn.net/v/t39.30808-6/274350703_2121933341313950_8926235975959399571_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=730e14&_nc_ohc=7c73NxatGjwAX8Dd6Ms&_nc_ht=scontent.fskp3-1.fna&oh=00_AT9tTHuoFzJwmh-cI6fmxlwWnldWiaF0OZbn3_ugX4C8Fg&oe=623452D6,Наочари за сонце Ana Hickmann,7000,,2,,,,BROWN,"FASHION,SUNGLASSES, ANAHICKMANN,WOMEN",,,,,normal,
123sdds,fashion accessories,sunglasess,,Наочари,https://scontent.fskp3-1.fna.fbcdn.net/v/t1.6435-9/56619829_1191584391015521_5617412379550679040_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=cdbe9c&_nc_ohc=byaEAtSo2BYAX9B33iq&tn=-cOmbLraIiAcNTtI&_nc_ht=scontent.fskp3-1.fna&oh=00_AT-eY4REhZzd_8UhDaumigmIM8jq9l2YxQQH0WXg2mvIgg&oe=6252FEC5,Наочари за сонце Kwiat,7000,,2,,,,BLACK,"FASHION,KWIAT,SUNGLASSES,WOMEN",,,,,normal,
