sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description,product_type,
12345,fashion accessories,sunglasess,,Наочари,https://www.facebook.com/optikadzanizaro/photos/2121933344647283,Наочари за сонце Ana Hickmann,,,,,,,BROWN,"FASHION,SUNGLASSES, ANAHICKMANN,WOMEN",,,,,normal,
123456,fashion accessories,sunglasess,,Наочари,https://www.facebook.com/optikadzanizaro/photos/1191584384348855,Наочари за сонце Kwiat,,,,,,,BLACK,"FASHION,KWIAT,SUNGLASSES,WOMEN",,,,,NORMAL,
